0-Seq.,1-orgaoUnidade,2-siglaUnidade,3-descricaoUnidade,4-superiorNaHierarquia,5-emailUnidade,6-usaEndereçoDoÓrgao?,7-endereçoUnidade,8-complementoEndereco,9-bairroUnidade,10-UFUnidade,11-cidadeUnidade,12-CEPUnidade,13-CNPJUnidade,14-telefoneUnidade,15-siteUnidade
1,ABC,GABIN,Gabinete,,governador@abc.gov.br,S,,,,,,,,(11)2345-6789,https://abc.gov.br/
2,ABC,ASIMP,Assessoria de Imprensa,GABIN,imprensa@abc.gov.br,S,,,,,,,,(11)2345-6789,https://abc.gov.br/
3,ABC,PROJUR,Procuradoria Estadual,GABIN,procuradoria@abc.gov.br,S,,,,,,,,(11)2345-6789,https://abc.gov.br/
4,ABC,ESPRE,Escritório de Projetos estratégicos,,projetos@abc.gov.br,S,,,,,,,,(11)2345-6789,https://abc.gov.br/
5,ABC,SETIN,Secretaria de Transformação Digital e Inovação,,setin@abc.gov.br,N,"Avenida Paulista, 1000","Bloco C, Sala 253-A",Bela Vista,SP,São Paulo,01310-100,,(11)2345-6543,https://abc.gov.br/inovacao
6,ABC,SUTEC,Subsecretaria de Tecnologia e Infraestrutura,SETIN,sutec@abc.gov.br,N,"Avenida Paulista, 1000","Bloco C, Sala 253",Bela Vista,SP,São Paulo,01310-100,,(11)2345-6543,https://abc.gov.br/inovacao
7,ABC,SUINV,Subsecretaria de Inovação,SETIN,suinv@abc.gov.br,N,"Avenida Paulista, 1000","Bloco C, Sala 255",Bela Vista,SP,São Paulo,01310-100,,(11)2345-6543,https://abc.gov.br/inovacao
8,ABC,SUSIG,Subsecretaria de Sistemas de Governo,SETIN,susig@abc.gov.br,N,"Avenida Paulista, 1000","Bloco C, Sala 257",Bela Vista,SP,São Paulo,01310-100,,(11)2345-6543,https://abc.gov.br/solucoes
9,ABC,SEADM,Secretaria de Administração,,secad@abc.gov.br,S,,,,,,,,(11)2345-3210,https://abc.gov.br/institucional
10,ABC,SUPRI,Superintendência de Planejamento e Projetos Internos,SEADM,supri@abc.gov.br,S,,,,,,,,(11)2345-3210,https://abc.gov.br/
11,ABC,SUOPE,Superintendência de Gestão e Suporte Operacional,SEADM,suope@abc.gov.br,S,,,,,,,,(11)2345-3210,https://abc.gov.br/
12,ABC,SUGEP,"Superintendência de Carreiras, Desenvolvimento e Gestão de Pessoas",SEADM,sugep@abc.gov.br,S,,,,,,,,(11)2345-3210,https://abc.gov.br/quem-somos
13,ABC,COIRE,Coordenadoria de Infraestrutura e Redes,SUTEC,coire@abc.gov.br,N,"Avenida Paulista, 1000","Bloco C, Sala S08",Bela Vista,SP,São Paulo,01310-100,,(11)2345-6543,https://abc.gov.br/
14,ABC,COSAU,Coordenadoria de Desenvolvimento de Sistemas e Automação,SUSIG,cosau@abc.gov.br,N,"Avenida Paulista, 1000","Bloco C, Sala 253",Bela Vista,SP,São Paulo,01310-100,,(11)2345-6543,https://abc.gov.br/solucoes
15,ABC,COLAB,Coordeadoria de Promoção à Inovação,SUINV,colab@abc.gov.br,N,"Avenida Paulista, 1000","Bloco C, Sala 257",Bela Vista,SP,São Paulo,01310-100,,(11)2345-6543,https://abc.gov.br/inovacao
16,ABC,COAPE,Coordenadoria de Apoio a Projetos Estratégicos,ESPRE,coape@abc.gov.br,S,,,,,,,,(11)2345-6789,https://abc.gov.br/inovacao
17,ABC,COPLA,Coordenadoria de Planejamento de Capacitação,SUGEP,copla@abc.gov.br,S,,,,,,,,(11)2345-3210,https://abc.gov.br/capacita
18,ABC,SUFIS,Superintendência de Fiscalização e Gestão de Contratos,SEADM,sufis@abc.gov.br,S,,,,,,,,(11)2345-3210,https://abc.gov.br/transparencia
19,ABC,COPAR,"Coordenadoria de Patrimônio, Arquivo e Recursos Logísticos",SUOPE,copar@abc.gov.br,S,,,,,,,,(11)2345-3210,https://abc.gov.br/
20,ABC,COFIC,Coordenadoria de Fiscalização Contratual,SUFIS,cofic@abc.gov.br,S,,,,,,,,(11)2345-3210,https://abc.gov.br/transparencia
